osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
6276353,0,1.0,11,0.067189680075854,0.2458,127.23,127.23,129.22,,0.0,1.0,0.5384615384615384,0.09110530289452873,0.24572457245724572,0.12129459851783943,0.6906077348066298,low,1.0
4857421,0,0.6975,10,0.09314017657189669,0.3543,170.82,170.82,171.19,0.5525,0.0,0.6217804451112778,0.46153846153846156,0.12629316604721014,0.35423542354235427,0.16292306516922608,0.6906077348066298,low,0.9522
6276353,0,0.7419,12,0.0055340992196669676,0.2458,131.87,134.48,131.87,,0.0,0.6772943235808953,0.6153846153846154,0.007502735132581053,0.24572457245724572,0.12572580029032013,0.6906077348066298,low,0.9993
6276353,0,0.7264,11,0.008550570882250023,0.2458,177.22,184.96,177.22,,0.0,0.6579144786196549,0.5384615384615384,0.01159295329403705,0.24572457245724572,0.16903506761402706,0.6906077348066298,low,0.9983
6276353,0,0.7419,12,0.0055340992196669676,0.2458,131.87,134.48,131.87,,0.0,0.6772943235808953,0.6153846153846154,0.007502735132581053,0.24572457245724572,0.12572580029032013,0.6906077348066298,low,0.9993
28798411,0,0.7218,12,0.10467040820599126,0.0247,131.85,143.51,131.85,,0.0,0.65216304076019,0.6153846153846154,0.14192771134082752,0.024602460246024603,0.12570670028268013,0.6906077348066298,low,0.997
948255782,0,1.0,10,0.18999929800566984,0.0079,164.81,176.05,164.81,0.3625,0.0,1.0,0.46153846153846156,0.25763036457134264,0.007800780078007801,0.15718351287340518,0.27071823204419887,low,0.9932
948255784,0,0.9787,10,0.015266085714398206,0.0079,174.4,185.05,174.4,0.3625,0.0,0.9733683420855213,0.46153846153846156,0.02069893001203425,0.007800780078007801,0.16634196653678665,0.27071823204419887,low,0.9999
6276360,0,1.0,7,0.1773842936415572,0.5,50.74,50.74,50.77,,0.0,1.0,0.23076923076923078,0.24052490967946544,0.49994999499949994,0.04824661929864773,0.6906077348066298,low,1.0
44289615,0,0.8534,8,0.1375745018982788,0.5,52.73,56.74,52.73,0.5525,0.0,0.8167041760440109,0.3076923076923077,0.18654438163011405,0.49994999499949994,0.05014707005882803,0.6906077348066298,low,1.0
4857536,0,0.8189,6,0.1773842936415572,0.5,58.48,58.48,58.87,0.5525,0.0,0.7735683920980245,0.15384615384615385,0.24052490967946544,0.49994999499949994,0.05563832225532891,0.6906077348066298,low,0.9999
27880416,0,1.0,10,0.18999929800566975,0.0101,57.06,57.06,57.57,0.4725,0.0,1.0,0.46153846153846156,0.25763036457134253,0.010001000100010001,0.05428222171288869,0.5138121546961325,low,1.0
67502786,0,0.9105,11,0.0296211692187856,0.1096,34.49,34.49,35.07,0.4625,0.0,0.8880970242560638,0.5384615384615384,0.04016386448736219,0.10951095109510951,0.03272786309114524,0.4917127071823205,low,1.0
67502790,0,0.6378,12,0.18999929800566984,0.042,132.49,134.03,132.49,0.6525,0.0,0.547136784196049,0.6153846153846154,0.25763036457134264,0.041904190419041906,0.12631790052716024,0.9116022099447513,low,0.9901
6276362,0,1.0,10,0.05756180975324577,0.1029,251.32,256.68,251.32,,0.0,1.0,0.46153846153846156,0.07805028549186115,0.10281028102810282,0.2398005959202384,0.6906077348066298,low,1.0
6276362,0,0.7331,12,0.06751765113226996,0.1693,131.2,134.02,131.2,,0.0,0.6662915728932232,0.6153846153846154,0.09155001888109818,0.16921692169216923,0.12508595003438003,0.6906077348066298,low,0.9973
