osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,pedestrian_priority_score,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,pedestrian_priority_score_norm,risk_class,risk_probability
"[1433159890, 121830607]",0,0.533,7,0.20983895868922792,0.3324,65.76,65.76,71.15,,0.0,0.43000122055413165,0.4,0.2910018561637805,0.3323332333233323,0.19240009375366224,0.4581005586592179,medium,0.9999
1335081722,0,1.0,5,0.20983895868922792,0.113,46.3,46.3,87.24,0.6925,0.0,1.0,0.2,0.2910018561637805,0.11291129112911291,0.13538614789640216,0.9162011173184358,low,1.0
237795734,0,0.4093,8,0.19171116332009216,0.3155,153.43,157.06,153.43,0.6525,0.0,0.2790186744782131,0.5,0.2658618509070563,0.31543154315431543,0.44925583030587124,0.8268156424581006,medium,0.9994
237795736,0,0.676,8,0.12722810536795015,0.0599,78.28,78.28,176.57,0.6525,0.0,0.6045404613694618,0.5,0.1764353992687847,0.059805980598059805,0.22908121410992613,0.8268156424581006,low,0.9885
4744939,0,0.5508,8,0.12766935217556424,0.5,179.29,179.29,218.97,0.6525,0.0,0.4517270840961796,0.5,0.1770473295579923,0.49994999499949994,0.5250205086136176,0.8268156424581006,medium,0.9999
449991621,0,0.4293,8,0.1850122740517114,0.5,93.51,100.04,93.51,0.6525,0.0,0.3034297571097278,0.5,0.2565716913486557,0.49994999499949994,0.2737020977381929,0.8268156424581006,medium,1.0
4744939,0,0.4,7,0.19280404058835154,0.2637,104.35,108.59,104.35,0.6525,0.0,0.26766752105455877,0.4,0.26737747592981964,0.2636263626362636,0.30546115082620406,0.8268156424581006,medium,0.9998
493086069,0,0.653,7,0.14424103189806614,0.0249,27.36,27.36,28.88,0.6125,0.0,0.5764677163432199,0.4,0.20002928113307286,0.0248024802480248,0.07989569905074416,0.7374301675977655,low,0.9994
868722651,0,0.496,8,0.3151154554631531,0.3341,38.35,38.35,38.42,0.425,0.0,0.3848407176858294,0.5,0.4370015008206348,0.33403340334033405,0.11209422243056368,0.3184357541899442,medium,0.9958
"[1442629979, 1112040477, 1112040478, 1112040487]",0,0.8553,7,0.010552779694222286,0.5,21.33,21.33,26.79,0.425,0.0,0.823385817160991,0.4,0.014627620604115807,0.49994999499949994,0.06222899332005155,0.3184357541899442,low,0.9967
