risk_probability,risk_class,osmid,shap_Lighting_high,shap_Visibility_high,shap_Connectivity_high,shap_Enclosure_high,shap_Land Use_high,shap_Transit Proximity_high,shap_Pedestrian Priority_high,shap_Lighting_low,shap_Visibility_low,shap_Connectivity_low,shap_Enclosure_low,shap_Land Use_low,shap_Transit Proximity_low,shap_Pedestrian Priority_low,shap_Lighting_medium,shap_Visibility_medium,shap_Connectivity_medium,shap_Enclosure_medium,shap_Land Use_medium,shap_Transit Proximity_medium,shap_Pedestrian Priority_medium
0.9658,medium,514858415,0.002368823937647098,-0.12873165235724635,-0.0055260387982556764,-0.07869656697001003,-0.020466475060644564,-0.08769464074772738,0.0,-0.04611643153211768,-0.040699920953463635,-0.0006081737877064166,0.00021671695807543804,0.07795128492757723,-0.16335930714729646,0.0,0.043747607594470744,0.16943157331070977,0.006134212585962015,0.07847985001193453,-0.05748480986693279,0.25105394789502394,0.0
1.0,medium,514858414,0.0025162760152893718,-0.2412099022191897,-0.007025812294709891,-0.11992165248767318,0.12595450726014984,-0.07905996056899237,0.0,-0.034399803707766574,0.10460165857205832,0.017133887728187407,0.1269377921217796,-0.3270771511146002,-0.09395360422492063,0.0,0.03188352769247743,0.1366082436471318,-0.010108075433477257,-0.007016139634106149,0.20112264385445072,0.1730135647939133,0.0
0.8721,low,552124691,0.0003508381317679776,-0.169110227339183,-0.003775384156176292,0.024197410240955414,-0.024430888083940467,-0.1459782988023942,0.0,-0.027353034868747045,0.39873014726800543,0.0727568938208001,-0.1600322506809274,0.170645695632403,0.21057933428309242,0.0,0.027002196736979026,-0.22961991992882247,-0.06898150966462394,0.13583484043997174,-0.14621480754846258,-0.0646010354806984,0.0
1.0,medium,"[1408626370, 849730566]",0.005412399835568987,-0.27141474039617003,-0.011039498594435272,-0.08038075090422075,-0.016876927693263388,0.055575353639327335,0.0,-0.022893879991235447,-0.011270940805727834,0.007561869951141428,-0.003348900622654752,0.028597058097607188,-0.20543765152381616,0.0,0.017481480155666515,0.28268568120189747,0.0034776286432937446,0.083729651526875,-0.011720130404344114,0.14986229788448854,0.0
0.9785,low,331574671,0.0017874961241583637,-0.12348333294385064,-0.0052985336202646775,-0.07594424627043903,-0.0008428871125941168,-0.1149650461860073,0.0,-0.02439341644676686,0.25301776012373745,0.05332171297605327,0.202152042101338,0.07784061001537335,0.2097822004784032,0.0,0.022605920322608705,-0.12953442717988653,-0.04802317935578851,-0.1262077958308986,-0.07699772290277906,-0.0948171542923956,0.0
0.9978,medium,553309957,0.002778240955382913,-0.12476288086799826,0.009900236193805326,-0.07346799882777924,-0.020176571553652434,-0.11301757570471573,0.0,-0.04181118893979939,-0.08589762586459089,-0.03168318728811842,-0.01015556069352357,0.06686180405681713,-0.10190570413770968,0.0,0.039032947984416325,0.2106605067325891,0.021782951094312955,0.08362355952130271,-0.0466852325031648,0.21492327984242537,0.0
0.9998,medium,601816556,0.002767498359459143,-0.12169836156652929,-0.006696221188241451,-0.07913859332821806,-0.02721556988365701,-0.0867653017513959,0.0,-0.036385197355179366,-0.09252142437795297,0.011970814175775505,0.0018541860595097902,0.07138981556630944,-0.16285200912705836,0.0,0.033617698995720285,0.21421978594448257,-0.005274592987533987,0.0772844072687085,-0.04417424568265213,0.24961731087845465,0.0
0.9989,low,601816557,0.0017185749068818618,-0.13738540466411367,-0.006453374477495824,-0.0711167856628751,-0.023975268052196977,-0.08153429205920017,0.0,-0.021410096371912254,0.42163908565178115,0.034377036696209784,0.12173417636026443,0.14368232254436883,0.09212848569470457,0.0,0.01969152146503056,-0.2842536809876672,-0.027923662218713806,-0.050617390697388916,-0.11970705449217148,-0.010594193635504071,0.0
0.9826,medium,959788822,0.0016591299411288785,-0.20734433894401583,-0.007284313511500558,-0.022628799539140057,-0.019442351392192386,-0.06370587655756949,0.0,-0.04330642325901779,0.16357198140075122,0.000926371575272809,-0.15472114505369636,0.05302169005347842,-0.20889913111422967,0.0,0.04164729331788877,0.04377235754326431,0.006357941936227428,0.17734994459283593,-0.03357933866128647,0.27260500767179857,0.0
1.0,medium,1187017264,0.002389220957435323,-0.33255769067392305,-0.004836515801864068,0.039967450439896274,-0.006022214633108827,-0.017686795210236163,0.0,-0.028977941221130808,0.12405002603037929,0.008954937579606843,-0.14127448309976115,0.033704145631617735,-0.20324741880593727,0.0,0.026588720263695756,0.20850766464354434,-0.0041184217777427215,0.10130703265986524,-0.027681930998508436,0.22093421401617383,0.0
0.8861,low,331574670,0.002028658483852183,-0.13560787253265466,0.007631525258381875,-0.10953793413799169,-0.01743851742565517,-0.06582240965491604,0.0,-0.028904644676508703,0.2148298558084932,-0.009871883780460604,0.31594231192189226,0.16584092204862344,0.0215165376866271,0.0,0.026875986192656673,-0.07922198327583879,0.002240358522078413,-0.2064043777839005,-0.14840240462296844,0.0443058719682887,0.0
0.9998,medium,987520328,0.002571651533745861,-0.20047658354589806,-0.024842314389275578,-0.13478995959644594,0.02079738560203932,0.017993270516361213,0.0,-0.03432786115588192,0.0743796212441503,0.03477849748090521,0.08548190837993326,-0.019071204130092848,-0.3478794058261756,0.0,0.03175620962213603,0.12609696230174788,-0.009936183091629356,0.049308051216512945,-0.001726181471946234,0.3298861353098147,0.0
0.9998,low,1408626367,0.0015407547135319957,-0.13300632377823618,-0.006192235730129416,-0.07391547261683261,-0.01756834253846147,-0.08960493005887227,0.0,-0.020392788652969708,0.4269964334272476,0.028570001729059,0.125811192247467,0.10547388470120597,0.12655237838504424,0.0,0.018852033939437476,-0.2939901096490117,-0.022377765998930016,-0.05189571963063481,-0.08790554216274502,-0.0369474483261725,0.0
1.0,low,1243383086,0.0016517496861191555,-0.13561562920739603,-0.03540578637355933,-0.10012137905538775,0.034638112748408334,-0.0838936178071844,0.0,-0.020674367674280145,0.40164342736206954,0.10204059487719018,0.24616861592176265,-0.06094726041976229,0.12496998411893004,0.0,0.019022617988160795,-0.26602779815467376,-0.06663480850363104,-0.14604723686637536,0.026309147671353637,-0.041076366311745965,0.0
