osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
"[44508937, 420269263]",0,0.626,19,0.14114848732814353,0.7513,52.86,54.73,52.86,0.0,0.5089930418800052,1.0,0.19235806377600065,0.7513,0.12440926275992437,low,1.0
"[44508938, 511326142]",0,0.7854,18,0.08719882798602342,0.3036,7.59,7.59,15.1,0.0,0.7182617828541419,0.9333333333333333,0.11883512202247713,0.3036,0.017438563327032135,low,1.0
"[62298633, 79639781]",0,0.629,18,0.13016845746600797,0.1022,2.97,2.97,13.15,0.0,0.5129316003675988,0.9333333333333333,0.1773944086602867,0.1022,0.006521739130434782,low,1.0
109462892,0,0.6298,18,0.13631724008957496,0.2765,9.08,9.08,18.16,0.0,0.513981882630957,0.9333333333333333,0.18577400905443864,0.2765,0.020959357277882795,low,1.0
"[131700744, 44335831, 365705720]",0,0.7274,18,0.10583725675078645,0.4711,22.29,23.94,22.29,0.0,0.642116318760667,0.9333333333333333,0.14423569227925714,0.4711,0.05217391304347825,low,1.0
"[430838879, 420269263]",0,0.6192,13,0.11997906792467083,0.1785,18.46,18.46,27.38,0.0,0.5000656426414598,0.6,0.16350824324446903,0.1785,0.043123818525519844,low,0.955
"[44508937, 420269263]",0,0.626,19,0.14114848732814353,0.7513,52.86,54.73,52.86,0.0,0.5089930418800052,1.0,0.19235806377600065,0.7513,0.12440926275992437,low,1.0
1464473936,0,0.426,9,0.45693916630877685,0.5111,42.45,50.56,42.45,0.0,0.24642247604043582,0.3333333333333333,0.6227196263905744,0.5111,0.0998109640831758,high,1.0
15212797,0,0.4506,10,0.4469788608269101,0.0989,118.29,128.8,118.29,0.0,0.27871865563870285,0.4,0.6091456582002164,0.0989,0.27901701323251415,high,1.0
320826399,0,0.549,12,0.1596636208774092,0.195,196.94,196.94,197.62,0.0,0.40790337403177107,0.5333333333333333,0.2175906065223563,0.195,0.4648629489603024,high,1.0
"[420269263, 430838879]",0,0.6192,13,0.11997906792467083,0.1785,18.46,18.46,27.38,0.0,0.5000656426414598,0.6,0.16350824324446903,0.1785,0.043123818525519844,low,0.955
320826399,0,0.549,12,0.1596636208774092,0.195,196.94,196.94,197.62,0.0,0.40790337403177107,0.5333333333333333,0.2175906065223563,0.195,0.4648629489603024,high,1.0
"[510587659, 320826398]",0,0.5368,10,0.18331507000740205,0.0,28.86,28.86,32.89,0.0,0.39188656951555734,0.4,0.24982295308350053,0.0,0.0676984877126654,high,0.9982
510587660,0,0.5009,9,0.2975021913795774,0.2427,139.38,145.4,139.38,0.0,0.3447551529473546,0.3333333333333333,0.40543789442001515,0.2427,0.32885160680529296,high,1.0
109462888,0,0.5404,11,0.16449720335015963,0.1266,14.21,14.21,72.68,0.0,0.3966128397006695,0.4666666666666667,0.2241778437160382,0.1266,0.0330812854442344,medium,0.9997
4638447,0,0.5532,12,0.3494357964409066,0.2485,17.87,17.87,31.29,0.0,0.413417355914402,0.5333333333333333,0.47621334446986435,0.2485,0.04172967863894139,medium,0.7144
109462873,0,0.3644,10,0.49509672843725966,0.4349,90.64,90.64,96.42,0.0,0.16555074176184847,0.4,0.6747209967799254,0.4349,0.21368147448015123,high,1.0
109462892,0,0.6298,18,0.13631724008957496,0.2765,9.08,9.08,18.16,0.0,0.513981882630957,0.9333333333333333,0.18577400905443864,0.2765,0.020959357277882795,low,1.0
62298635,0,0.5605,10,0.3326454608419793,0.0489,31.74,31.74,37.53,0.0,0.42300118156754624,0.4,0.4533313674320918,0.0489,0.07450378071833647,high,1.0
62298634,0,0.6158,12,0.14040827253463078,0.0,92.25,92.25,94.4,0.0,0.4956019430221872,0.5333333333333333,0.19134929430808958,0.0,0.21748582230623817,medium,0.9858
62299085,0,0.6061,10,0.21526677684319687,0.0,79.63,80.63,79.63,0.0,0.482867270578968,0.4,0.2933669440791902,0.0,0.18766540642722115,high,1.0
428732053,0,0.5653,12,0.1512747265105156,0.0,10.99,10.99,16.76,0.0,0.42930287514769594,0.5333333333333333,0.20615816747761065,0.0,0.025472589792060487,medium,1.0
15212773,0,0.6046,13,0.3591630643483067,0.2971,54.08,63.75,54.08,0.0,0.4808979913351713,0.6,0.48946972755917023,0.2971,0.12729206049149336,medium,0.9931
"[62298633, 79639781]",0,0.629,18,0.130168457466008,0.1022,2.97,2.97,13.15,0.0,0.5129316003675988,0.9333333333333333,0.17739440866028672,0.1022,0.006521739130434782,low,1.0
62298634,0,0.6158,12,0.14040827253463078,0.0,92.25,92.25,94.4,0.0,0.4956019430221872,0.5333333333333333,0.19134929430808958,0.0,0.21748582230623817,medium,0.9858
44335829,0,0.7781,12,0.03507259053892105,0.1374,9.6,58.55,9.6,0.0,0.7086779572009978,0.5333333333333333,0.047797151321862956,0.1374,0.02218809073724007,low,1.0
"[1335732384, 911569192, 448349943, 335727767, 335727768, 70688313]",0,0.8753,12,0.08756364671286485,0.4764,2.55,2.55,3.38,0.0,0.8362872521990284,0.5333333333333333,0.11933229932315409,0.4764,0.00552930056710775,low,1.0
"[44508938, 511326142]",0,0.7854,18,0.08719882798602342,0.3036,7.59,7.59,15.1,0.0,0.7182617828541419,0.9333333333333333,0.11883512202247713,0.3036,0.017438563327032135,low,1.0
29974989,0,0.7621,10,0.0,0.2139,54.23,54.23,56.74,0.0,0.6876723119338323,0.4,0.0,0.2139,0.12764650283553872,low,0.8812
807334396,0,0.7699,8,0.08591062888878834,0.0681,14.94,149.88,14.94,0.0,0.6979125640015755,0.26666666666666666,0.11707955603099715,0.0681,0.03480623818525519,medium,1.0
137519639,0,0.5197,11,0.17182872106130292,0.2662,87.45,87.45,151.14,0.0,0.3694367861362742,0.4666666666666667,0.23416928307292165,0.2662,0.20614366729678638,high,0.7614
137519639,0,0.5044,12,0.17032367495419928,0.1528,90.84,97.54,90.84,0.0,0.349350137849547,0.5333333333333333,0.2321181965856608,0.1528,0.21415406427221173,high,0.6708
109462886,0,1.0,12,0.0,,33.04,33.04,37.89,0.0,1.0,0.5333333333333333,0.0,0.2432,0.07757561436672966,low,1.0
109462900,0,0.5365,12,0.17171129568690638,0.0452,44.92,44.92,48.77,0.0,0.3914927136667979,0.5333333333333333,0.2340092550195952,0.0452,0.10564744801512287,medium,0.9944
"[44572476, 137216215]",0,0.5366,12,0.1774980593537081,0.0003,108.08,108.08,115.83,0.0,0.39162399894971767,0.5333333333333333,0.24189549365768612,0.0003,0.2548913043478261,high,0.9993
109462895,0,0.5403,12,0.1387504056496674,0.0588,39.4,39.4,96.45,0.0,0.39648155441774974,0.5333333333333333,0.18908994268465693,0.0588,0.09260396975425329,medium,1.0
109462900,0,0.5365,12,0.1717112956869064,0.0452,44.92,44.92,48.77,0.0,0.3914927136667979,0.5333333333333333,0.23400925501959527,0.0452,0.10564744801512287,medium,0.9944
1253915891,0,0.3903,10,0.48102023689744167,0.2014,76.12,76.12,98.62,0.0,0.19955363003807267,0.4,0.6555374638309417,0.2014,0.17937145557655956,high,1.0
109462891,0,0.4448,10,0.3842635512571713,0.189,102.38,102.38,146.1,0.0,0.27110410922935535,0.4,0.5236768320986558,0.189,0.24142249527410206,high,1.0
109462895,0,0.5403,12,0.13875040564966734,0.0588,39.4,39.4,96.45,0.0,0.39648155441774974,0.5333333333333333,0.18908994268465684,0.0588,0.09260396975425329,medium,1.0
"[982244933, 109462887]",0,0.5396,12,0.16297006090831076,0.0292,12.42,12.42,78.27,0.0,0.3955625574373112,0.5333333333333333,0.22209664420207334,0.0292,0.028851606805293,medium,1.0
"[982244933, 109462887]",0,0.5396,12,0.1629700609083108,0.0292,12.42,12.42,78.27,0.0,0.3955625574373112,0.5333333333333333,0.2220966442020734,0.0292,0.028851606805293,medium,1.0
109462899,0,0.5504,12,0.1871298707262793,0.0,32.57,32.57,34.91,0.0,0.409741367992648,0.5333333333333333,0.2550217879691239,0.0,0.07646502835538752,medium,0.9943
554230311,0,0.5134,10,0.17831827887526758,0.0,91.61,91.61,103.49,0.0,0.3611658133123276,0.4,0.24301329408208358,0.0,0.2159735349716446,high,1.0
109462896,0,0.5218,10,0.4928791558139502,0.3319,108.22,108.22,121.85,0.0,0.3721937770775896,0.4,0.671698874586644,0.3319,0.2552221172022684,high,1.0
109462899,0,0.5504,12,0.18712987072627926,0.0,32.57,32.57,34.91,0.0,0.409741367992648,0.5333333333333333,0.25502178796912384,0.0,0.07646502835538752,medium,0.9943
198644581,0,0.5399,12,0.1400923711454397,0.4768,18.92,18.92,96.44,0.0,0.3959564132860707,0.5333333333333333,0.1909187818688902,0.4768,0.044210775047258975,medium,0.6041
109462894,0,0.5603,12,0.16622523989562638,0.0,35.99,35.99,125.09,0.0,0.4227386110017067,0.5333333333333333,0.22653282300283267,0.0,0.08454631379962192,medium,0.9993
