borough,lighting,lighting_norm,visibility,visibility_norm,connectivity,connectivity_norm,enclosure,enclosure_norm,public_transport_proximity_m,public_transport_proximity_m_norm,dominant_land_use_score,dominant_land_use_score_norm,pedestrian_priority_score,pedestrian_priority_score_norm,risk_score,location_id,risk_class,cluster_id,pc1_score
"London Borough of Southwark, London, UK",0.8651916826397644,0.0052952405759206,0.6465,0.5306691449814126,8,0.3571428571428571,0.2984971506711228,0.2627582098118425,111.62,0.2055696296159322,0.508,0.508,0.53,0.4904458598726115,0.4057423003763201,SOU_16293_-27085,medium,0,-1.0394622178571675
"London Borough of Southwark, London, UK",0.0,0.0,0.7374,0.6513542219861923,8,0.3571428571428571,0.2794646082260684,0.2460044258317055,179.54,0.3311636679672332,0.0513,0.0513,0.5925,0.6496815286624205,0.3575254058145437,SOU_15910_-26936,medium,0,0.9171351623941749
"London Borough of Southwark, London, UK",0.0,0.0,0.7322,0.6444503451938396,12,0.6428571428571429,0.213774670806379,0.1881795175528762,182.54,0.3367111078237393,0.0845,0.0845,0.5925,0.6496815286624205,0.3761736315001404,SOU_15912_-26935,medium,0,1.314701729663656
"London Borough of Southwark, London, UK",0.0,0.0,0.7328,0.645246946362188,12,0.6428571428571429,0.2436773994632633,0.2145020048285724,133.34,0.2457330941770373,0.1278,0.1278,0.5925,0.6496815286624205,0.3629165479904221,SOU_15910_-26940,medium,0,0.9915790515818045
"London Borough of Southwark, London, UK",0.0,0.0,0.7374,0.6513542219861923,8,0.3571428571428571,0.2794646082260684,0.2460044258317055,179.54,0.3311636679672332,0.0513,0.0513,0.5925,0.6496815286624205,0.3575254058145437,SOU_15910_-26936,medium,0,0.9171351623941749
"London Borough of Southwark, London, UK",0.0,0.0,0.7263,0.6366171003717471,7,0.2857142857142857,0.2000733965453222,0.1761186912137234,61.45,0.1127979437489598,0.3614,0.3614,0.53,0.4904458598726115,0.3373246312961172,SOU_15951_-26939,low,2,-0.045000846341785534
"London Borough of Southwark, London, UK",14.283279772199135,0.0874180879504211,0.7065,0.6103292618162507,9,0.4285714285714285,0.3777205821871524,0.3324962525150987,54.58,0.1000943064775606,0.2923,0.2923,0.53,0.4904458598726115,0.3483855936937081,SOU_16246_-27070,low,2,-0.7395428235608161
"London Borough of Southwark, London, UK",5.834836387573747,0.0357110025596527,0.6821,0.5779341476367499,12,0.6428571428571429,0.2477960314530177,0.2181275147072044,109.22,0.2011316777307272,0.3522,0.3522,0.53,0.4904458598726115,0.3928275109929882,SOU_16248_-27064,medium,0,-0.10789767949626422
"London Borough of Southwark, London, UK",0.0,0.0,0.8408,0.7886351566648965,12,0.6428571428571429,0.1608139068907303,0.141559724079284,288.14,0.5319809907727584,0.0864,0.0864,0.5925,0.6496815286624205,0.3905486946709773,SOU_15931_-26979,medium,0,2.3440322608987927
"London Borough of Southwark, London, UK",0.0,0.0,0.8369,0.783457249070632,12,0.6428571428571429,0.1760956660152052,0.1550118044803693,259.9,0.4797610902568465,0.0662,0.0662,0.5925,0.6496815286624205,0.3798488318010743,SOU_15928_-26982,medium,0,2.247237436542095
"London Borough of Southwark, London, UK",0.0,0.0,0.7684,0.6925119490175252,10,0.5,0.2522177526449237,0.222019825042697,191.59,0.3534458847241998,0.1608,0.1608,0.5925,0.6496815286624205,0.3723707763536462,SOU_15931_-26964,medium,0,1.0855180209932553
"London Borough of Southwark, London, UK",0.0,0.0,0.8572,0.8104089219330854,12,0.6428571428571429,0.1205399714930426,0.106107770372585,302.66,0.5588305996782486,0.1807,0.1807,0.5925,0.6496815286624205,0.3951508325208773,SOU_15938_-26974,medium,0,2.4033593642729647
"London Borough of Southwark, London, UK",0.0,0.0,0.882,0.8433351035581519,12,0.6428571428571429,0.1740882474120029,0.1532447332794064,351.14,0.6484772277593891,0.0217,0.0217,0.5925,0.6496815286624205,0.4054072786131193,SOU_15937_-26979,medium,0,2.8081659663075036
"London Borough of Southwark, London, UK",0.0,0.0,0.8408,0.7886351566648965,12,0.6428571428571429,0.1608139068907303,0.141559724079284,288.14,0.5319809907727584,0.0864,0.0864,0.5925,0.6496815286624205,0.3905486946709773,SOU_15931_-26979,medium,0,2.3440322608987927
"London Borough of Southwark, London, UK",0.0,0.0,0.8592,0.8130642591609134,8,0.3571428571428571,0.0835414720686241,0.0735390860396622,412.79,0.762477116810592,0.1187,0.1187,0.5925,0.6496815286624205,0.4058760276362764,SOU_15943_-26983,medium,0,2.706277586806912
"London Borough of Southwark, London, UK",0.0,0.0,0.8572,0.8104089219330854,12,0.6428571428571429,0.1205399714930426,0.106107770372585,302.66,0.5588305996782486,0.1807,0.1807,0.5925,0.6496815286624205,0.3951508325208773,SOU_15938_-26974,medium,0,2.4033593642729647
"London Borough of Southwark, London, UK",0.0,0.0,0.882,0.8433351035581519,12,0.6428571428571429,0.1740882474120029,0.1532447332794064,351.14,0.6484772277593891,0.0217,0.0217,0.5925,0.6496815286624205,0.4054072786131193,SOU_15937_-26979,medium,0,2.8081659663075036
"London Borough of Southwark, London, UK",0.0,0.0,0.8173,0.7574349442379182,12,0.6428571428571429,0.2017029498267007,0.1775531387521516,258.15,0.4765250836738845,0.0266,0.0266,0.53,0.4904458598726115,0.4032316525161725,SOU_15926_-26992,medium,0,1.963196325308984
"London Borough of Southwark, London, UK",0.0,0.0,0.8369,0.783457249070632,12,0.6428571428571429,0.1760956660152052,0.1550118044803693,259.9,0.4797610902568465,0.0662,0.0662,0.5925,0.6496815286624205,0.3798488318010743,SOU_15928_-26982,medium,0,2.247237436542095
"London Borough of Southwark, London, UK",0.0,0.0,0.8433,0.7919543281996814,12,0.6428571428571429,0.1843099017569887,0.1622425531613224,355.62,0.6567614046117718,0.0443,0.0443,0.5925,0.6496815286624205,0.4191898473235418,SOU_15934_-26996,medium,0,2.5150311825975957
