osmid,lighting,visibility,connectivity,enclosure,dominant_land_use_score,public_transport_proximity_m,dist_to_rail_m,dist_to_bus_m,lighting_norm,visibility_norm,connectivity_norm,enclosure_norm,dominant_land_use_score_norm,public_transport_proximity_m_norm,risk_class,risk_probability
294085176,4,0.4111,8,0.19430676044880266,0.1884,182.1,183.02,182.1,0.12121212121212122,0.2812156719150494,0.5,0.26946673518305136,0.1884,0.5332532520801593,high,1.0
"[1408687437, 1083818629, 293858815]",0,0.4118,8,0.2086151856467058,0.0,102.46,102.46,151.33,0.0,0.28207005980715244,0.5,0.28930981534549266,0.0,0.29992382514941984,high,1.0
294085176,3,0.3928,8,0.21330034819650043,0.0,65.71,65.71,119.61,0.09090909090909091,0.2588795313072135,0.5,0.29580724988240215,0.0,0.19225360365639277,high,1.0
132556736,0,0.2411,6,0.36830763794320376,0.009,136.5,136.5,203.83,0.0,0.07372146954717443,0.3,0.5107730503575899,0.009,0.39965428337044406,high,1.0
295281241,0,0.4241,7,0.18682326172537134,0.0184,35.37,35.37,98.16,0.0,0.297082875625534,0.4,0.2590885375120501,0.0184,0.10336341263330595,high,1.0
295281241,0,0.3953,8,0.3690749987124618,0.1469,161.31,161.31,170.71,0.0,0.2619309166361528,0.5,0.5118372346439313,0.1469,0.47234266963553256,high,1.0
671282474,0,0.7584,8,0.10319873634160184,0.5304,139.31,141.55,139.31,0.0,0.7051141218113023,0.5,0.14311713340676677,0.5304,0.40788702683698574,medium,0.9999
295281240,0,0.4612,8,0.32961759339476,0.2659,130.78,141.69,130.78,0.0,0.34236543390699375,0.5,0.45711727448816003,0.2659,0.38289581624282193,high,1.0
"[1408604730, 803424574]",0,0.432,8,0.32524291680482803,0.262,104.22,110.16,104.22,0.0,0.30672525326498223,0.5,0.4510504252676395,0.262,0.3050802765733036,high,1.0
4744990,0,0.4635,8,0.32866771316644544,0.4427,160.77,160.77,162.93,0.0,0.345172708409618,0.5,0.4557999702248002,0.4427,0.4707605765850228,high,1.0
"[1409644593, 803424599]",0,0.4878,8,0.3192364341668138,0.0,153.0,159.82,153.0,0.0,0.37483217380690836,0.5,0.4427205696174248,0.0,0.4479960154693542,high,1.0
307933387,0,0.4744,7,0.32341949980919205,0.1039,28.06,28.06,29.68,0.0,0.3584767484437934,0.4,0.4485216906854952,0.1039,0.08194656041251609,high,1.0
1199518017,1,0.4515,7,0.3514216366603319,0.0642,102.76,108.51,102.76,0.030303030303030304,0.3305260588307092,0.4,0.48735535956040726,0.0642,0.3008027657330364,high,1.0
"[1111233081, 1111226849, 340350446]",0,0.4457,7,0.319944852475951,0.0,8.81,8.81,11.72,0.0,0.32344684486756986,0.4,0.4437030118570369,0.0,0.025547872963787646,high,1.0
"[547477970, 868707435]",0,0.4486,8,0.206848528665215,0.044,3.95,3.95,4.62,0.0,0.32698645184913955,0.5,0.28685979617018914,0.044,0.011309035509199577,medium,0.8588
"[892388240, 1091727153, 547477971, 238326399]",0,0.4328,8,0.18567983461937873,0.0419,8.35,8.35,8.62,0.0,0.3077016965702429,0.5,0.25750282032722355,0.0419,0.024200164068908937,medium,0.8668
591631504,0,0.4498,8,0.19283416343886944,0.008,0.81,0.81,7.35,0.0,0.3284511168070304,0.5,0.26742452158435576,0.008,0.002109457400679714,medium,0.9331
"[237529472, 895949675, 246638748]",0,0.4558,8,0.32541211140423026,0.0028,20.02,20.02,21.48,0.0,0.3357744415964848,0.5,0.45128506618392167,0.0028,0.05839095277159263,high,1.0
"[729397992, 729397993, 331574667, 548391757]",0,0.4477,7,0.31541822230989497,0.0431,177.11,177.11,181.63,0.0,0.32588795313072133,0.4,0.4374254317594076,0.0431,0.5186335403726707,high,1.0
"[1409644585, 511211618]",0,0.4454,8,0.32491843208583543,0.3731,6.42,6.42,12.18,0.0,0.3230806786280972,0.5,0.4506004263193694,0.3731,0.01854564631430915,medium,0.7263
"[654334913, 68506233, 653349598, 1205958254]",0,0.7474,9,0.12426230153612683,0.3899,9.63,9.63,13.14,0.0,0.6916880263639692,0.6,0.172328315411829,0.3899,0.02795031055900621,low,1.0
237910178,0,0.4416,8,0.33714146187398136,0.0715,80.67,83.79,80.67,0.0,0.3184425729281094,0.5,0.46755145737690545,0.0715,0.23608344075940463,high,1.0
"[1017861008, 549538006]",0,0.5496,8,0.2597211855232885,0.2245,23.58,23.58,24.73,0.0,0.4502624191382888,0.5,0.36018417351604504,0.2245,0.06882104769717566,medium,0.9949
